path,filename,full_filepath,confidential,timestamp_created,timestamp_modified,timestamp_last_accessed,size
code/analysis/output/,elast_results_ec_main_sur.csv,code/analysis/output/elast_results_ec_main_sur.csv,TRUE,2022-01-04T20:56:05.703188Z,2022-01-04T20:56:05.703188Z,2022-01-05T22:01:30.680073Z,1114485
code/analysis/output/,elast_results_ec_onlyocdstnc.csv,code/analysis/output/elast_results_ec_onlyocdstnc.csv,TRUE,2022-01-04T20:56:06.126629Z,2022-01-04T20:56:06.126629Z,2022-01-05T22:01:30.680073Z,376339
code/analysis/output/,elast_results_ec_onlyocllennc.csv,code/analysis/output/elast_results_ec_onlyocllennc.csv,TRUE,2022-01-04T20:56:06.372612Z,2022-01-04T20:56:06.372612Z,2022-01-05T22:01:30.680073Z,371832
code/analysis/output/,elast_results_ec_onlyocprnc.csv,code/analysis/output/elast_results_ec_onlyocprnc.csv,TRUE,2022-01-04T20:56:06.604332Z,2022-01-04T20:56:06.604332Z,2022-01-05T22:01:30.680073Z,378746
code/analysis/output/,elast_results_ec_remocdstnc.csv,code/analysis/output/elast_results_ec_remocdstnc.csv,TRUE,2022-01-04T20:56:06.820145Z,2022-01-04T20:56:06.842268Z,2022-01-05T22:01:30.680073Z,751179
code/analysis/output/,elast_results_ec_remocllennc.csv,code/analysis/output/elast_results_ec_remocllennc.csv,TRUE,2022-01-04T20:56:07.092443Z,2022-01-04T20:56:07.092443Z,2022-01-05T22:01:30.680073Z,755715
code/analysis/output/,elast_results_ec_remocprnc.csv,code/analysis/output/elast_results_ec_remocprnc.csv,TRUE,2022-01-04T20:56:07.336943Z,2022-01-04T20:56:07.343449Z,2022-01-05T22:01:30.681072Z,748134
code/analysis/output/,elast_results_ec_unrestrictedcompetition.csv,code/analysis/output/elast_results_ec_unrestrictedcompetition.csv,TRUE,2022-01-04T20:56:07.543962Z,2022-01-04T20:56:07.543962Z,2022-01-05T22:01:30.681072Z,1127820
code/analysis/output/,elast_results_ec_unrestrictedcompetition_sur.csv,code/analysis/output/elast_results_ec_unrestrictedcompetition_sur.csv,TRUE,2022-01-04T20:56:07.760071Z,2022-01-04T20:56:07.775692Z,2022-01-05T22:01:30.681072Z,1114259
code/analysis/output/,elast_results_marketshare.csv,code/analysis/output/elast_results_marketshare.csv,TRUE,2022-01-04T21:02:34.852568Z,2022-01-04T21:02:34.865433Z,2022-01-05T22:01:30.681072Z,1620366
code/analysis/output/,elast_results_salesresponse_linear.csv,code/analysis/output/elast_results_salesresponse_linear.csv,TRUE,2022-01-04T20:56:08.007412Z,2022-01-04T20:56:08.007412Z,2022-01-05T22:01:30.681072Z,1126181
code/analysis/output/,elast_results_salesresponse_linear_noldv.csv,code/analysis/output/elast_results_salesresponse_linear_noldv.csv,TRUE,2022-01-04T20:56:08.253298Z,2022-01-04T20:56:08.268923Z,2022-01-05T22:01:30.681072Z,1043001
code/analysis/output/,elasticities_main.txt,code/analysis/output/elasticities_main.txt,TRUE,2022-01-04T20:56:08.801619Z,2022-01-04T20:56:08.832863Z,2022-01-05T22:01:30.681072Z,1858
code/analysis/output/,elasticities_marketshare.txt,code/analysis/output/elasticities_marketshare.txt,TRUE,2022-01-04T21:02:34.865433Z,2022-01-04T21:02:34.883820Z,2022-01-05T22:01:30.681072Z,185
code/analysis/output/,predictions-kfold_results_ec_chinahk_withadv.csv,code/analysis/output/predictions-kfold_results_ec_chinahk_withadv.csv,TRUE,2022-01-04T20:56:04.027956Z,2022-01-04T20:56:04.053589Z,2022-01-05T22:01:30.681072Z,8716495
code/analysis/output/,predictions-kfold_results_ec_chinahk_withadv_sur.csv,code/analysis/output/predictions-kfold_results_ec_chinahk_withadv_sur.csv,TRUE,2022-01-04T20:56:04.053589Z,2022-01-04T20:56:04.069210Z,2022-01-05T22:01:30.681072Z,8716495
code/analysis/output/,predictions-kfold_results_ec_chinahk_withoutadv.csv,code/analysis/output/predictions-kfold_results_ec_chinahk_withoutadv.csv,TRUE,2022-01-04T20:56:04.069210Z,2022-01-04T20:56:04.084831Z,2022-01-05T22:01:30.682068Z,8745586
code/analysis/output/,predictions-kfold_results_ec_chinahk_withoutadv_sur.csv,code/analysis/output/predictions-kfold_results_ec_chinahk_withoutadv_sur.csv,TRUE,2022-01-04T20:56:04.100452Z,2022-01-04T20:56:04.100452Z,2022-01-05T22:01:30.682068Z,8745586
code/analysis/output/,predictions-kfold_results_ec_first60.csv,code/analysis/output/predictions-kfold_results_ec_first60.csv,TRUE,2022-01-04T20:56:04.116074Z,2022-01-04T20:56:04.216311Z,2022-01-05T22:01:30.683065Z,66203087
code/analysis/output/,predictions-kfold_results_ec_first60_sur.csv,code/analysis/output/predictions-kfold_results_ec_first60_sur.csv,TRUE,2022-01-04T20:56:04.253748Z,2022-01-04T20:56:04.331854Z,2022-01-05T22:01:30.683065Z,66203087
code/analysis/output/,predictions-kfold_results_ec_last60.csv,code/analysis/output/predictions-kfold_results_ec_last60.csv,TRUE,2022-01-04T20:56:04.353985Z,2022-01-04T20:56:04.416470Z,2022-01-05T22:01:30.684065Z,67500206
code/analysis/output/,predictions-kfold_results_ec_last60_sur.csv,code/analysis/output/predictions-kfold_results_ec_last60_sur.csv,TRUE,2022-01-04T20:56:04.438597Z,2022-01-04T20:56:04.501087Z,2022-01-05T22:01:30.685061Z,67500206
code/analysis/output/,predictions-kfold_results_ec_lntrend.csv,code/analysis/output/predictions-kfold_results_ec_lntrend.csv,TRUE,2022-01-04T20:56:04.585699Z,2022-01-04T20:56:04.801796Z,2022-01-05T22:01:30.687056Z,156343034
code/analysis/output/,predictions-kfold_results_ec_main.csv,code/analysis/output/predictions-kfold_results_ec_main.csv,TRUE,2022-01-04T20:56:04.833378Z,2022-01-04T20:56:04.988787Z,2022-01-05T22:01:30.688053Z,156342901
code/analysis/output/,predictions-kfold_results_ec_main_attributes.csv,code/analysis/output/predictions-kfold_results_ec_main_attributes.csv,TRUE,2022-01-04T20:56:05.039656Z,2022-01-04T20:56:05.218008Z,2022-01-05T22:01:30.690048Z,155975077
code/analysis/output/,predictions-kfold_results_ec_main_attributes_sur.csv,code/analysis/output/predictions-kfold_results_ec_main_attributes_sur.csv,TRUE,2022-01-04T20:56:05.255760Z,2022-01-04T20:56:05.471806Z,2022-01-05T22:01:30.692041Z,155975077
code/analysis/output/,predictions-kfold_results_ec_main_nc.csv,code/analysis/output/predictions-kfold_results_ec_main_nc.csv,TRUE,2022-01-04T20:56:05.533953Z,2022-01-04T20:56:05.703188Z,2022-01-05T22:01:30.693041Z,156415013
code/analysis/output/,predictions-kfold_results_ec_main_sur.csv,code/analysis/output/predictions-kfold_results_ec_main_sur.csv,TRUE,2022-01-04T20:56:05.740936Z,2022-01-04T20:56:05.919285Z,2022-01-05T22:01:30.695034Z,156342901
code/analysis/output/,predictions-kfold_results_ec_noocmmixnc.csv,code/analysis/output/predictions-kfold_results_ec_noocmmixnc.csv,TRUE,2022-01-04T20:56:05.956705Z,2022-01-04T20:56:06.126629Z,2022-01-05T22:01:30.697029Z,156845898
code/analysis/output/,predictions-kfold_results_ec_onlyocdstnc.csv,code/analysis/output/predictions-kfold_results_ec_onlyocdstnc.csv,TRUE,2022-01-04T20:56:06.141134Z,2022-01-04T20:56:06.372612Z,2022-01-05T22:01:30.698025Z,156547786
code/analysis/output/,predictions-kfold_results_ec_onlyocllennc.csv,code/analysis/output/predictions-kfold_results_ec_onlyocllennc.csv,TRUE,2022-01-04T20:56:06.419477Z,2022-01-04T20:56:06.604332Z,2022-01-05T22:01:30.700022Z,156551667
code/analysis/output/,predictions-kfold_results_ec_onlyocprnc.csv,code/analysis/output/predictions-kfold_results_ec_onlyocprnc.csv,TRUE,2022-01-04T20:56:06.635574Z,2022-01-04T20:56:06.820145Z,2022-01-05T22:01:30.702017Z,156550524
code/analysis/output/,predictions-kfold_results_ec_remocdstnc.csv,code/analysis/output/predictions-kfold_results_ec_remocdstnc.csv,TRUE,2022-01-04T20:56:06.889135Z,2022-01-04T20:56:07.092443Z,2022-01-05T22:01:30.703012Z,156450142
code/analysis/output/,predictions-kfold_results_ec_remocllennc.csv,code/analysis/output/predictions-kfold_results_ec_remocllennc.csv,TRUE,2022-01-04T20:56:07.142971Z,2022-01-04T20:56:07.336943Z,2022-01-05T22:01:30.705008Z,156451571
code/analysis/output/,predictions-kfold_results_ec_remocprnc.csv,code/analysis/output/predictions-kfold_results_ec_remocprnc.csv,TRUE,2022-01-04T20:56:07.381857Z,2022-01-04T20:56:07.543962Z,2022-01-05T22:01:30.707001Z,156449094
code/analysis/output/,predictions-kfold_results_ec_unrestrictedcompetition.csv,code/analysis/output/predictions-kfold_results_ec_unrestrictedcompetition.csv,TRUE,2022-01-04T20:56:07.590832Z,2022-01-04T20:56:07.760071Z,2022-01-05T22:01:30.708Z,155923398
code/analysis/output/,predictions-kfold_results_ec_unrestrictedcompetition_sur.csv,code/analysis/output/predictions-kfold_results_ec_unrestrictedcompetition_sur.csv,TRUE,2022-01-04T20:56:07.806934Z,2022-01-04T20:56:08.007412Z,2022-01-05T22:01:30.709991Z,155923398
code/analysis/output/,predictions-kfold_results_salesresponse_linear.csv,code/analysis/output/predictions-kfold_results_salesresponse_linear.csv,TRUE,2022-01-04T20:56:08.038654Z,2022-01-04T20:56:08.253298Z,2022-01-05T22:01:30.711988Z,182938631
code/analysis/output/,predictions-kfold_results_salesresponse_linear_noldv.csv,code/analysis/output/predictions-kfold_results_salesresponse_linear_noldv.csv,TRUE,2022-01-04T20:56:08.300163Z,2022-01-04T20:56:08.523624Z,2022-01-05T22:01:30.713984Z,183070022
code/analysis/output/,predictions-kfold_results_salesresponse_linear_onlyldv.csv,code/analysis/output/predictions-kfold_results_salesresponse_linear_onlyldv.csv,TRUE,2022-01-04T20:56:08.545750Z,2022-01-04T20:56:08.801619Z,2022-01-05T22:01:30.715977Z,183183637
code/analysis/output/,predictions-within_results_ec_chinahk_withadv.csv,code/analysis/output/predictions-within_results_ec_chinahk_withadv.csv,TRUE,2022-01-04T20:56:04.019917Z,2022-01-04T20:56:04.027956Z,2022-01-05T22:01:30.715977Z,1021723
code/analysis/output/,predictions-within_results_ec_chinahk_withadv_sur.csv,code/analysis/output/predictions-within_results_ec_chinahk_withadv_sur.csv,TRUE,2022-01-04T20:56:04.053589Z,2022-01-04T20:56:04.053589Z,2022-01-05T22:01:30.715977Z,1021723
code/analysis/output/,predictions-within_results_ec_chinahk_withoutadv.csv,code/analysis/output/predictions-within_results_ec_chinahk_withoutadv.csv,TRUE,2022-01-04T20:56:04.069210Z,2022-01-04T20:56:04.069210Z,2022-01-05T22:01:30.715977Z,1022855
code/analysis/output/,predictions-within_results_ec_chinahk_withoutadv_sur.csv,code/analysis/output/predictions-within_results_ec_chinahk_withoutadv_sur.csv,TRUE,2022-01-04T20:56:04.084831Z,2022-01-04T20:56:04.100452Z,2022-01-05T22:01:30.715977Z,1022855
code/analysis/output/,predictions-within_results_ec_first60.csv,code/analysis/output/predictions-within_results_ec_first60.csv,TRUE,2022-01-04T20:56:04.116074Z,2022-01-04T20:56:04.116074Z,2022-01-05T22:01:30.715977Z,7819617
code/analysis/output/,predictions-within_results_ec_first60_sur.csv,code/analysis/output/predictions-within_results_ec_first60_sur.csv,TRUE,2022-01-04T20:56:04.238123Z,2022-01-04T20:56:04.253748Z,2022-01-05T22:01:30.716976Z,7819617
code/analysis/output/,predictions-within_results_ec_last60.csv,code/analysis/output/predictions-within_results_ec_last60.csv,TRUE,2022-01-04T20:56:04.338360Z,2022-01-04T20:56:04.353985Z,2022-01-05T22:01:30.716976Z,7974681
code/analysis/output/,predictions-within_results_ec_last60_sur.csv,code/analysis/output/predictions-within_results_ec_last60_sur.csv,TRUE,2022-01-04T20:56:04.416470Z,2022-01-04T20:56:04.438597Z,2022-01-05T22:01:30.716976Z,7974681
code/analysis/output/,predictions-within_results_ec_lntrend.csv,code/analysis/output/predictions-within_results_ec_lntrend.csv,TRUE,2022-01-04T20:56:04.538832Z,2022-01-04T20:56:04.570076Z,2022-01-05T22:01:30.716976Z,18346877
code/analysis/output/,predictions-within_results_ec_main.csv,code/analysis/output/predictions-within_results_ec_main.csv,TRUE,2022-01-04T20:56:04.801796Z,2022-01-04T20:56:04.817419Z,2022-01-05T22:01:30.716976Z,18350494
code/analysis/output/,predictions-within_results_ec_main_attributes.csv,code/analysis/output/predictions-within_results_ec_main_attributes.csv,TRUE,2022-01-04T20:56:05.004404Z,2022-01-04T20:56:05.039656Z,2022-01-05T22:01:30.717974Z,18338919
code/analysis/output/,predictions-within_results_ec_main_attributes_sur.csv,code/analysis/output/predictions-within_results_ec_main_attributes_sur.csv,TRUE,2022-01-04T20:56:05.218008Z,2022-01-04T20:56:05.255760Z,2022-01-05T22:01:30.717974Z,18338919
code/analysis/output/,predictions-within_results_ec_main_nc.csv,code/analysis/output/predictions-within_results_ec_main_nc.csv,TRUE,2022-01-04T20:56:05.471806Z,2022-01-04T20:56:05.518333Z,2022-01-05T22:01:30.717974Z,18349078
code/analysis/output/,predictions-within_results_ec_main_sur.csv,code/analysis/output/predictions-within_results_ec_main_sur.csv,TRUE,2022-01-04T20:56:05.703188Z,2022-01-04T20:56:05.740936Z,2022-01-05T22:01:30.718971Z,18350494
code/analysis/output/,predictions-within_results_ec_noocmmixnc.csv,code/analysis/output/predictions-within_results_ec_noocmmixnc.csv,TRUE,2022-01-04T20:56:05.935068Z,2022-01-04T20:56:05.956705Z,2022-01-05T22:01:30.718971Z,18395784
code/analysis/output/,predictions-within_results_ec_onlyocdstnc.csv,code/analysis/output/predictions-within_results_ec_onlyocdstnc.csv,TRUE,2022-01-04T20:56:06.126629Z,2022-01-04T20:56:06.141134Z,2022-01-05T22:01:30.718971Z,18354033
code/analysis/output/,predictions-within_results_ec_onlyocllennc.csv,code/analysis/output/predictions-within_results_ec_onlyocllennc.csv,TRUE,2022-01-04T20:56:06.372612Z,2022-01-04T20:56:06.403854Z,2022-01-05T22:01:30.718971Z,18351920
code/analysis/output/,predictions-within_results_ec_onlyocprnc.csv,code/analysis/output/predictions-within_results_ec_onlyocprnc.csv,TRUE,2022-01-04T20:56:06.604332Z,2022-01-04T20:56:06.619953Z,2022-01-05T22:01:30.719969Z,18355148
code/analysis/output/,predictions-within_results_ec_remocdstnc.csv,code/analysis/output/predictions-within_results_ec_remocdstnc.csv,TRUE,2022-01-04T20:56:06.842268Z,2022-01-04T20:56:06.873514Z,2022-01-05T22:01:30.719969Z,18351300
code/analysis/output/,predictions-within_results_ec_remocllennc.csv,code/analysis/output/predictions-within_results_ec_remocllennc.csv,TRUE,2022-01-04T20:56:07.108065Z,2022-01-04T20:56:07.142971Z,2022-01-05T22:01:30.719969Z,18352371
code/analysis/output/,predictions-within_results_ec_remocprnc.csv,code/analysis/output/predictions-within_results_ec_remocprnc.csv,TRUE,2022-01-04T20:56:07.343449Z,2022-01-04T20:56:07.366234Z,2022-01-05T22:01:30.719969Z,18348817
code/analysis/output/,predictions-within_results_ec_unrestrictedcompetition.csv,code/analysis/output/predictions-within_results_ec_unrestrictedcompetition.csv,TRUE,2022-01-04T20:56:07.543962Z,2022-01-04T20:56:07.590832Z,2022-01-05T22:01:30.720964Z,18335873
code/analysis/output/,predictions-within_results_ec_unrestrictedcompetition_sur.csv,code/analysis/output/predictions-within_results_ec_unrestrictedcompetition_sur.csv,TRUE,2022-01-04T20:56:07.775692Z,2022-01-04T20:56:07.791311Z,2022-01-05T22:01:30.720964Z,18335873
code/analysis/output/,predictions-within_results_salesresponse_linear.csv,code/analysis/output/predictions-within_results_salesresponse_linear.csv,TRUE,2022-01-04T20:56:08.007412Z,2022-01-04T20:56:08.023033Z,2022-01-05T22:01:30.720964Z,16731059
code/analysis/output/,predictions-within_results_salesresponse_linear_noldv.csv,code/analysis/output/predictions-within_results_salesresponse_linear_noldv.csv,TRUE,2022-01-04T20:56:08.268923Z,2022-01-04T20:56:08.284878Z,2022-01-05T22:01:30.720964Z,16741861
code/analysis/output/,predictions-within_results_salesresponse_linear_onlyldv.csv,code/analysis/output/predictions-within_results_salesresponse_linear_onlyldv.csv,TRUE,2022-01-04T20:56:08.523624Z,2022-01-04T20:56:08.545750Z,2022-01-05T22:01:30.721962Z,16743963
code/analysis/output/,results_ec_chinahk_withadv.RData,code/analysis/output/results_ec_chinahk_withadv.RData,TRUE,2022-01-04T19:53:15.726511Z,2022-01-04T19:53:17.194586Z,2022-01-05T22:01:30.721962Z,21883284
code/analysis/output/,results_ec_chinahk_withadv_sur.RData,code/analysis/output/results_ec_chinahk_withadv_sur.RData,TRUE,2022-01-04T19:55:32.310534Z,2022-01-04T19:55:33.465670Z,2022-01-05T22:01:30.721962Z,16351545
code/analysis/output/,results_ec_chinahk_withoutadv.RData,code/analysis/output/results_ec_chinahk_withoutadv.RData,TRUE,2022-01-04T19:53:30.162207Z,2022-01-04T19:53:31.569445Z,2022-01-05T22:01:30.722960Z,20131891
code/analysis/output/,results_ec_chinahk_withoutadv_sur.RData,code/analysis/output/results_ec_chinahk_withoutadv_sur.RData,TRUE,2022-01-04T19:57:18.478109Z,2022-01-04T19:57:19.588142Z,2022-01-05T22:01:30.722960Z,14960344
code/analysis/output/,results_ec_first60.RData,code/analysis/output/results_ec_first60.RData,TRUE,2022-01-04T19:59:31.778809Z,2022-01-04T19:59:44.033743Z,2022-01-05T22:01:30.723957Z,146631543
code/analysis/output/,results_ec_first60_sur.RData,code/analysis/output/results_ec_first60_sur.RData,TRUE,2022-01-04T20:25:27.088228Z,2022-01-04T20:25:36.522064Z,2022-01-05T22:01:30.725952Z,111110931
code/analysis/output/,results_ec_last60.RData,code/analysis/output/results_ec_last60.RData,TRUE,2022-01-04T20:27:47.429739Z,2022-01-04T20:28:00.321337Z,2022-01-05T22:01:30.726950Z,151979755
code/analysis/output/,results_ec_last60_sur.RData,code/analysis/output/results_ec_last60_sur.RData,TRUE,2022-01-04T20:52:27.637856Z,2022-01-04T20:52:36.866472Z,2022-01-05T22:01:30.727945Z,115220130
code/analysis/output/,results_ec_lntrend.RData,code/analysis/output/results_ec_lntrend.RData,TRUE,2022-01-04T16:55:55.722427Z,2022-01-04T16:56:22.493927Z,2022-01-05T22:01:30.730938Z,347190697
code/analysis/output/,results_ec_main.RData,code/analysis/output/results_ec_main.RData,TRUE,2022-01-04T16:42:21.735584Z,2022-01-04T16:42:51.972849Z,2022-01-05T22:01:30.734928Z,344373359
code/analysis/output/,results_ec_main_attributes.RData,code/analysis/output/results_ec_main_attributes.RData,TRUE,2022-01-04T16:47:03.031750Z,2022-01-04T16:47:35.430979Z,2022-01-05T22:01:30.737917Z,368753673
code/analysis/output/,results_ec_main_attributes_sur.RData,code/analysis/output/results_ec_main_attributes_sur.RData,TRUE,2022-01-04T18:55:52.736380Z,2022-01-04T18:56:14.857531Z,2022-01-05T22:01:30.740910Z,282965905
code/analysis/output/,results_ec_main_nc.RData,code/analysis/output/results_ec_main_nc.RData,TRUE,2022-01-04T17:00:02.356068Z,2022-01-04T17:00:29.046686Z,2022-01-05T22:01:30.745899Z,332137921
code/analysis/output/,results_ec_main_sur.RData,code/analysis/output/results_ec_main_sur.RData,TRUE,2022-01-04T18:20:24.137480Z,2022-01-04T18:20:45.157742Z,2022-01-05T22:01:30.749887Z,261500305
code/analysis/output/,results_ec_noocmmixnc.RData,code/analysis/output/results_ec_noocmmixnc.RData,TRUE,2022-01-04T17:03:12.640591Z,2022-01-04T17:03:34.283449Z,2022-01-05T22:01:30.754871Z,256880402
code/analysis/output/,results_ec_onlyocdstnc.RData,code/analysis/output/results_ec_onlyocdstnc.RData,TRUE,2022-01-04T17:24:10.631784Z,2022-01-04T17:24:34.081898Z,2022-01-05T22:01:30.758863Z,273644532
code/analysis/output/,results_ec_onlyocllennc.RData,code/analysis/output/results_ec_onlyocllennc.RData,TRUE,2022-01-04T17:20:54.886333Z,2022-01-04T17:21:19.001005Z,2022-01-05T22:01:30.762854Z,268001056
code/analysis/output/,results_ec_onlyocprnc.RData,code/analysis/output/results_ec_onlyocprnc.RData,TRUE,2022-01-04T17:17:39.277790Z,2022-01-04T17:18:03.318497Z,2022-01-05T22:01:30.766842Z,275480956
code/analysis/output/,results_ec_remocdstnc.RData,code/analysis/output/results_ec_remocdstnc.RData,TRUE,2022-01-04T17:14:21.310036Z,2022-01-04T17:14:47.242777Z,2022-01-05T22:01:30.770832Z,303054431
code/analysis/output/,results_ec_remocllennc.RData,code/analysis/output/results_ec_remocllennc.RData,TRUE,2022-01-04T17:10:37.527876Z,2022-01-04T17:11:03.032951Z,2022-01-05T22:01:30.773825Z,309661582
code/analysis/output/,results_ec_remocprnc.RData,code/analysis/output/results_ec_remocprnc.RData,TRUE,2022-01-04T17:06:58.848036Z,2022-01-04T17:07:24.433195Z,2022-01-05T22:01:30.776815Z,299554990
